topic_id,count,coherence_c_v,label,top_words,example_1,example_2,example_3
19,1875,0.4448,,"leader, opposition, hon, you, please, not, he, question, have, me",No. I have not read that. Nobody has told me that and I think this is a very wrong impression that the hon. Leader of the Opposition has got. I am not aware of anything of that sort.,"One last question, we have got three more minutes. The last question is usually for the hon. Leader of the Opposition. Does he have any other questions?",I will allow the hon. Leader of the Opposition one last question!
11,1865,0.4683,,"minutes, time, you, minute, over, 1130, one, your, left, am","Well, I cannot say for now. It will take the time it will take.",For three months?,Thank you. Time is over!
17,1855,0.3036,,"member, hon, members, please, you, question, shame, point, order, not",For which period is the hon. Member referring to?,"Please proceed, hon. Member!","Don’t interrupt the hon. Member, please!"
6,1821,0.7463,,"sports, football, athletes, games, youth, sport, federation, jeux, le, de","asked the Minister of Youth and Sports whether, in regard to Mr D. S., he will, for the benefit of the House, obtain from the Mauritius Football Association, information as to the terms and conditions of his recruitment.","Madame la présidente, avant que M. Six ne soit engagé par le ministère des Sports, la MFA, la ligue professionnelle, l’honorable ministre peut-il nous dire où a-t-il exercé comme entraîneur national et pendant quelle periode? Et aussi où a-t-il exercé comme Directeur Technique National et encore une fois durant quelle periode ?",Next question! REUNION ISLAND - INDIAN OCEAN ISLAND GAMES – TRAINING PROGRAMME
9,1740,0.6577,,"he, him, his, not, is, said, you, what, did, but","Yes, he himself answered!",He owed Rs6.8 m. for his bungalow. It is only after his defeat at the general elections on 12 December 2014 that he settled his account late at night!,"Hanging, certainly not, because he was lying on the ground as far as I know. But I have not been given any such information."
7,1618,0.6058,,"drug, drugs, cannabis, methadone, police, synthetic, trafficking, of, and, the","SYNTHETIC CANNABINOIDS – MEASURES (No. B/5) Mr A. Ameer Meea (Second Member for Port Louis Maritime & Port Louis East) asked the Rt. hon. Prime Minister, Minister of Defence, Home Affairs, Minister for Rodrigues and National Development Unit whether, in regard to new types of synthetic drugs on the market, including Wazabi, Black Mamba, he will, for the benefit of the House, obtain from the Commissioner of Police, information as to the quantity thereof, estimated to have been introduced in Mauritius, indicating the measures taken or that will be taken to prevent the proliferation thereof.","Madam Speaker, I am informed by the Commissioner of Police that during the year 2013, criminal intelligence revealed that new types of Synthetic Cannabinoids made of new psychoactive substances have entered Mauritius. Wazabi and Black Mamba are the street names of two of those Synthetic Cannabinoids. Since October 2013, these ‘Synthetic Cannabinoids and their derivatives’ are considered as dangerous drugs according to the First Schedule to the Dangerous Drugs Act. I am further informed by the Commissioner of Police that 30 cases of sale or consumption of this new type of drug have thus been established by the Anti-Drug and Smuggling Unit. In all these cases, enquiry is still in progress and examination by the Forensic Science Laboratory is still being carried out to determine, inter-alia, the quantity of the synthetic drug secured so far. Madam Speaker, it is indeed of paramount importance that our citizens are shielded from the consumption of not only the Wazabi or Black Mamba, but from any other incumbent or potential illicit drugs. A series of measures are being adopted by the Police to prevent illegal drug proliferation which include, inter alia, the following - (i) the setting of an intelligence cell which enables the pro-active targeting of local and foreign drug dealers and their network; (ii) drug mapping where drug transactions, drug traffickers, pedlars and addicts are located; (iii) aerial patrols, undercover operations, intensive surveillance, raid and searches, and (iv) drug reduction programmes comprising sensitisation campaign in collaboration with NATReSA and other NGO’s. Moreover, Police is working in close partnership with the Mauritius Revenue Authority and the Ministry of Health and Quality of Life to tighten security so as to prevent entry of drugs at the Port and airport. Madam Speaker, my Government has a zero tolerance policy against the drug scourge. I have taken a commitment in the Government Programme to set up a Commission of Enquiry on Drug Trafficking and my Government shall pursue a relentless fight against traffickers, while ensuring that the seaport and airport are equipped with state-of-the-art equipment and technology to counter any attempt to introduce drugs in Mauritius.","Thank you, Madam Speaker. In view of the ever changing scene of drugs in Mauritius and abroad like in this case of Synthetic Cannabinoids drugs, can the hon. Prime Minister consider the fact of creating a Drug Observatory like it is the case in many countries abroad, so as to keep aware parents, educators and all those concerned with the prevention of drugs and to take precautions concerning new drugs entering the country?"
70,1584,0.5157,,"litre, item, per, amount, year, rs, duty, fees, specific, column",We will follow up and the cost is Rs8.95 m…,"I heard the figures, but I did not take them down. The contribution to subsidy on three things: LPG gas, flour and rice. We have been given the amount of funds collected. Can we have on these three items – • LPG subsidy; • Flour subsidy, and • Ration rice subsidy the sum actually spent in 2014? We have the sum collected, how much was spent on these three items of subsidy?","No. 62.5 million Euros. The cost Rs4.5 billion and the loan was in Euros, 62.5 million."
115,1543,0.7797,,"thereof, asked, regard, minister, whether, indicating, obtain, information, benefit, of","asked the Rt. hon. Prime Minister, Minister of Defence, Home Affairs, Minister for Rodrigues and National Development Unit whether, in regard to Advisers/Press Attachés employed on a contract basis and attached to each Ministry, since July 2005 to date, he will give a list thereof, indicating in each case – (a) their qualifications; (b) their areas of responsibility; (c) their salaries and any other allowances drawn; (d) their terms and conditions of appointment, and (e) the make and model of Government car put at their disposal.","NATIONAL ASSEMBLY - PROCEEDINGS - LIVE BROADCAST (No. B/7) Mr R. Bhagwan (First Member for Beau Bassin & Petite Rivière) asked the Rt. hon. Prime Minister, Minister of Defence, Home Affairs, Minister for Rodrigues and National Development Unit whether, in regard to the live broadcasting of the proceedings of the National Assembly through television, radios and web tv, he will state if Government intends to – (a) set up a Select Committee to look thereinto, or (b) study the draft report of the previous Select Committee on live broadcasting of the proceedings of the House of the Fifth National Assembly and implement its recommendations.","asked the Rt. hon. Prime Minister, Minister of Defence, Home Affairs, Minister for Rodrigues and National Development Unit whether, in regard to access to the VIP Lounge, he will state if Mrs N. S. was granted such facilities and, if so, indicate - (a) the number thereof, since July 2005 to December 2014, and (b) if any official request was made therefor and, if so, in which capacity."
22,1531,0.4852,,"uteem, hon, tour, doolub, ms, lesjongard, nagalingum, toussaint, mrs, anquetil",Hon. Uteem!,Hon. Lesjongard!,Hon. Uteem!
174,1506,0.5762,,"bank, money, billion, fund, that, finance, is, funds, it, financial",The hon. Minister announced again that a substantial amount of money will go to the MID Fund (Mauritius Ile Durable Fund). May I know from the hon. Minister why are we still paying for the MID Fund when the Government has already abolished the Office of MID Commission?,"May I ask the hon. Minister as regards security bonds and his intention to review it, is he aware that it was reviewed in actual fact by the previous Government under the Directors of the then Vice-Prime Minister and Minister of Finance who thought that it would be business-friendly to do away with the bonds?","As far as the first part of my question is concerned, Madam Speaker, if I heard the hon. Minister rightly, the contract was awarded to Colas for Rs2.1 billion, and he said that to date Rs3 billion – slightly more – have been paid. Are there outstanding claims emanating from Colas and his consultant EGIS still being paid as a consultant?"
34,1479,0.6257,,"land, lands, state, lease, housing, of, the, ministry, for, to","Next question, hon. Uteem! PORT LOUIS SOUTH & PORT LOUIS CENTRAL - STATE LANDS - ILLEGAL OCCUPATION (No. B/20) Mr R. Uteem (First Member for Port Louis South & Port Louis Central) asked the Vice-Prime Minister, Minister of Housing and Lands whether, in regard to the State lands in Constituency No. 2, Port Louis South and Port Louis Central, he will state if any illegal occupation thereof has been reported and, if so, indicate – (a) the number thereof, and (b) state, in each case, the measures Government proposes to take in relation thereto.","Mr Deputy Speaker, Sir, I raised that issue on many occasions here that there was a plot of land identified and it was the responsibility of the Minister of Housing to identify the owner and have a compulsory acquisition. Can I ask the hon. Vice-Prime Minister to, at least, make a request to the Minister to, at least, speed up ….","With due respect, can I make a request to the hon. Vice-Prime Minister to ask the Minister of Housing to expedite matters if they have identified the owner of the land and if it is okay, then to proceed accordingly?"
33,1471,0.5276,,"deputy, speaker, sir, mr, motion, he, not, is, this, it","I will do what can be done, Mr Deputy Speaker, Sir.","Mr Deputy Speaker, Sir, the MID does not fall under my responsibility and it will be presumptuous on my behalf to decide whether the subsidies should be discontinued or continued. QUARTIER SOLITUDE, PLAINE MAGNIEN – INHABITANTS - RELOCATION","Mr Deputy Speaker, Sir, regarding part (a) of the question, hon. Members would surely understand that compilation of such a list would be quite a time consuming exercise, as we are considering a forty year period. The more so that…"
12,1463,0.5196,,"regulations, notice, amendment, annual, no, consumer, report, ended, taxable, government","(b) The Annual Report 2013 of the Sugar Insurance Fund Board. (In Original) (c) The Annual Report of the Accountant General and the Accounts of the Permanent Resident Investment Fund for the year ended 31 December 2013. (In Original) (d) The Annual Report of the Accountant-General and the Accounts of the Government of the Republic of Mauritius for the fiscal year ended 31 December 2013. (In Original) (e) The Digest of Crime, Justice and Security Statistics - 2013.","(Amendment) Rules 2014. (Government Notice No. 226 of 2014). (g) The Excise (Amendment of Schedule) (No. 6) Regulations 2014 (Government Notice No. 230 of 2014). C. Ministry of Technology, Communication and Innovation – The Annual Reports 2011 and 2012 of the Mauritius Broadcasting Corporation. (In Original) D. Ministry of Public Infrastructure and Land Transport – The Road Traffic (Crop Season) (Amendment) Regulations 2015 (Government Notice No. 2 of 2015). E. Ministry of Education and Human Resources, Tertiary Education and Scientific Research – The Annual Reports of the Early Childhood Care and Education Authority for the years ended 2011, 2012 and 2013. (In Original) F. Ministry of Local Government – The Report of the Director of Audit on the Financial Statements of the Statutory Bodies Family Protection Fund for the year ended 31 December 2013. (In Original) G. Attorney General’s Office – (a) The Institution Agréées (Amendment) Regulations 2014 (Government Notice No. 1 2015) (b) The Report of the Director of Audit on the Financial Statements of the Law Reform Commission for the year ended 31 December 2013.",H. Ministry of Agro – Industry and Food Security – (a) The Terminal Report and Audited Financial Statements of the ex-Tobacco Board for period ended 25 November 2013. (In Original) (b) The Annual Report and Accounts of the Irrigation Authority for the Year July 2009 – Dec 2009 and the year January 2010 – December 2010. (In Original) (c) The Annual Report 2009-2010 of the Small Planters Welfare Fund.
16,1456,0.5554,,"covid19, vaccines, vaccination, health, vaccine, patients, doses, hiv, and, sir","Madam Speaker, may we know from the hon. Minister whether he is aware that we had several researches and documents since 1950, and that fluoride is the best preventive measure? The hon. Minister has mentioned a lot of clinics; those are curative. To reduce the cost in the long run, prevention is better than cure. I take it that this new Government will go mainly on prevention …","Do not go on WHO requirements, go on Mauritian requirements. From a dental point of view, we find fluoride is the best preventive measure.","I understand the hon. Member to be asking about the introduction of fluoride. May I say, Madam Speaker, that fluoride is used mainly in toothpaste, which is widely available in Mauritius. We will certainly look into whatever the World Health Organisation says, but at least we trust the world body about this matter."
15,1395,0.8386,,"ceb, energy, electricity, central, renewable, board, mw, power, solar, gas","Next question, hon. Osman Mahomed! SIGNAL MOUNTAIN - HEALTH TRACK - SOLAR STREET LIGHTING SYSTEM (No. B/86) Mr O. Mahomed (Third Member for Port Louis South & Port Louis Central) asked the Minister of Environment, Sustainable Development and Disaster and Beach Management whether, in regard to the project for the installation of the Solar Street Lighting System along the Health Track on the Signal Mountain approved for funding by the Maurice Ile Durable Fund, he will state where matters stand, indicating the time frame for the commissioning thereof.",QUATRE BORNES – SEWERAGE PROJECT,"CEB - ST LOUIS POWER STATION PROJECT - CONTRACT (No. B/99) Mr B. Jahangeer (Third Member for Rivière des Anguilles & Souillac) asked the Vice-Prime Minister, Minister of Energy and Public Utilities whether, in regard to the Redevelopment of the St Louis Power Station Project for the Design, Supply, Installation and Commissioning of 4 x 15 MW Diesel Generating Set, he will, for the benefit of the House, obtain from the Central Electricity Board, information as to if it had been instructed to start negotiations with Burmeister & Wain Scandinavian Contractors, albeit their bid had been rejected by the Central Procurement Board for non-compliance, indicating the number of contracts the CEB has awarded thereto over the past ten years, indicating in each case – (a) the contract value thereof (b) the local partner thereof, and (c) if they had manufactured the equipment supplied."
31,1352,0.4393,,"madam, information, speaker, chairperson, have, am, member, will, not, it","Madam Speaker, therefore, the first mention was of Rs200 m. Then I heard - because now you can’t say I didn’t say that – the Sergeant - not Sergeant-in-Chief – now in charge of the Press Office saying that he had talked to Police Officer Jangi and he had been told “li paret ki ena plis ki R 200 millions”. En direct! Then that figure was – by the same Police Officer, now Press Officer – said to be between Rs450 m. to Rs500 m. That was yesterday and today it has climbed up, according to the same Police Officer, to Rs800 m. when, in fact, they have already started counting the money.",Can we know whether the close relatives of Mrs N. S. were granted the same facilities at the VIP Lounge?,"I don’t have the information, Mr Deputy Speaker, Sir."
64,1316,0.529,,"question, answer, your, yes, you, answered, asking, ask, am, put","Yes, let me come to my question. You should give me some time to come to my question.",The question is longer than the answer!,This answers my question. I have no further question.
